name,surname,priority
Абакум,Абакумович,0
Абрам,Абрамович,229
Абросим,Абросимович,0
Аввакум,Аввакумович,0
Август,Августович,139
Авдей,Авдеевич,79
Авдий,Авдиевич,0
Авенир,Авенирович,81
Аверий,Авериевич,0
Аверкий,Аверкиевич,0
Аверьян,Аверьянович,0
Авксентий,Авксентиевич,0
Аврам,Аврамович,0
Агап,Агапович,0
Агапий,Агапиевич,0
Агафон,Агафонович,51
Аггей,Аггеевич,0
Адам,Адамович,264
Адриан,Адрианович,161
Азар,Азарович,30
Азарий,Азариевич,0
Аким,Акимович,242
Акинф,Акинфович,0
Акинфий,Акинфиевич,0
Аксён,Аксёнович,0
Аксентий,Аксентиевич,0
Александр,Александрович,349
Алексей,Алексеевич,345
Альберт,Альбертович,294
Альфред,Альфредович,178
Амвросий,Амвросиевич,0
Амос,Амосович,0
Ананий,Ананиевич,0
Анастасий,Анастасиевич,0
Анатолий,Анатолиевич,335
Андрей,Андреевич,346
Андриан,Андрианович,185
Андрон,Андронович,0
Андроний,Андрониевич,0
Андроник,Андроникович,59
Аникей,Аникеевич,0
Аникий,Аникиевич,0
Анисий,Анисиевич,0
Анисим,Анисимович,176
Антип,Антипович,58
Антипий,Антипиевич,0
Антон,Антонович,324
Антонин,Антонинович,0
Антроп,Антропович,0
Антропий,Антропиевич,0
Ануфрий,Ануфриевич,0
Аполлинарий,Аполлинариевич,0
Аполлон,Аполлонович,47
Ардалион,Ардалионович,0
Ардальон,Ардальонович,0
Ареф,Арефович,0
Арефий,Арефиевич,0
Аристарх,Аристархович,90
Аркадий,Аркадиевич,296
Арнольд,Арнольдович,175
Арон,Аронович,0
Арсений,Арсениевич,282
Арсентий,Арсентиевич,0
Артамон,Артамонович,18
Артём,Артёмович,0
Артемий,Артемиевич,257
Артур,Артурович,304
Архип,Архипович,216
Аскольд,Аскольдович,25
Афанасий,Афанасиевич,279
Афиноген,Афиногенович,28
Бахтияр,Бахтиярович,151
Бенедикт,Бенедиктович,0
Богдан,Богданович,299
Болеслав,Болеславович,150
Бонифат,Бонифатович,0
Бонифатий,Бонифатиевич,0
Борис,Борисович,315
Булат,Булатович,239
Вавила,Вавилич,0
Вадим,Вадимович,321
Валентин,Валентинович,311
Валериан,Валерианович,162
Валерьян,Валерьянович,0
Валерий,Валериевич,330
Варлам,Варламович,45
Варламий,Варламиевич,0
Варсоноф,Варсонофович,0
Варсонофий,Варсонофиевич,0
Варфоломей,Варфоломеевич,86
Василий,Васильевич,337
Велимир,Велимирович,0
Венедикт,Венедиктович,106
Вениамин,Вениаминович,269
Веньямин,Веньяминович,0
Венцеслав,Венцеславович,0
Викентий,Викентиевич,188
Виктор,Викторович,339
Викторий,Викториевич,0
Викторин,Викторинович,0
Викул,Викулович,0
Викула,Викулич,0
Вилен,Виленович,0
Виленин,Виленинович,0
Вильгельм,Вильгельмович,147
Виссарион,Виссарионович,92
Виталий,Виталиевич,331
Витольд,Витольдович,0
Владилен,Владиленович,0
Владимир,Владимирович,347
Владислав,Владиславович,322
Владлен,Владленович,0
Влас,Власович,166
Власий,Власиевич,0
Вонифат,Вонифатович,0
Вонифатий,Вонифатиевич,0
Всеволод,Всеволодович,263
Вукол,Вуколович,0
Вячеслав,Вячеславович,326
Гавриил,Гавриилович,255
Гаврил,Гаврилович,0
Галактион,Галактионович,71
Гелий,Гелиевич,0
Геннадий,Геннадиевич,318
Генрих,Генрихович,230
Георгий,Георгиевич,308
Герасим,Герасимович,240
Герман,Германович,281
Гермоген,Гермогенович,0
Глеб,Глебович,290
Гордей,Гордеевич,174
Григорий,Григорьевич,319
Гурий,Гуриевич,115
Давид,Давидович,286
Давыд,Давыдович,0
Даниил,Даниилович,305
Данил,Данилович,0
Дементий,Дементиевич,127
Демид,Демидович,194
Демьян,Демьянович,235
Денис,Денисович,328
Денисий,Денисиевич,0
Димитрий,Димитриевич,213
Диомид,Диомидович,0
Дионисий,Дионисиевич,3
Дмитрий,Дмитриевич,342
Донат,Донатович,65
Доримедонт,Доримедонтович,0
Дормедонт,Дормедонтович,0
Дормидонт,Дормидонтович,0
Дорофей,Дорофеевич,136
Евгений,Евгениевич,340
Евграф,Евграфович,113
Евграфий,Евграфьевич,0
Евдоким,Евдокимович,199
Евлампий,Евлампиевич,88
Евмен,Евменович,0
Евмений,Евмениевич,0
Евсей,Евсеевич,165
Евстафий,Евстафиевич,0
Евстахий,Евстахиевич,0
Евстигней,Евстигнеевич,55
Евстрат,Евстратович,0
Евстратий,Евстратиевич,0
Евтихий,Евтихиевич,0
Евфимий,Евфимиевич,0
Егор,Егорович,310
Егорий,Егориевич,0
Елизар,Елизарович,119
Елисей,Елисеевич,219
Елистрат,Елистратович,0
Емельян,Емельянович,247
Епифан,Епифанович,78
Епифаний,Епифаниевич,0
Еремей,Еремеевич,123
Ермил,Ермилович,0
Ермила,Ермилич,0
Ермилий,Ермильевич,0
Ермолай,Ермолаевич,133
Ерофей,Ерофеевич,77
Ефим,Ефимович,284
Ефимий,Ефимиевич,0
Ефрем,Ефремович,195
Ефремий,Ефремиевич,0
Захар,Захарович,280
Захарий,Захариевич,0
Зенон,Зенонович,0
Зиновий,Зиновиевич,205
Зосим,Зосимович,36
Зосима,Зосимич,0
Иаким,Иакимович,0
Иакинф,Иакинфович,0
Иван,Иванович,343
Игнат,Игнатович,0
Игнатий,Игнатиевич,212
Игорь,Игоревич,336
Измаил,Измаилович,67
Изосим,Изосимович,0
Изот,Изотович,40
Иларион,Иларионович,0
Илиодор,Илиодорович,0
Илья,Ильич,323
Иннокентий,Иннокентиевич,237
Иоанн,Иоаннович,153
Иона,Ионич,34
Иосиф,Иосифович,288
Ипат,Ипатович,0
Ипатий,Ипатиевич,0
Ипполит,Ипполитович,74
Исаак,Исаакович,177
Исаакий,Исаакиевич,0
Исай,Исаевич,154
Исак,Исакович,0
Исакий,Исакиевич,0
Исидор,Исидорович,56
Иустин,Иустинович,0
Казимир,Казимирович,223
Каллиник,Каллиникович,0
Каллистрат,Каллистратович,0
Капитон,Капитонович,99
Карл,Карлович,209
Карп,Карпович,217
Касьян,Касьянович,17
Ким,Кимович,183
Киприан,Киприанович,0
Кириак,Кириакович,0
Кирьяк,Кирьякович,0
Кирсан,Кирсанович,11
Клавдий,Клавдиевич,87
Клим,Климович,201
Климент,Климентович,43
Климентий,Климентиевич,0
Кондрат,Кондратович,181
Кондратий,Кондратьевич,146
Конон,Кононович,0
Константин,Константинович,327
Корней,Корнеевич,0
Корнил,Корнилович,0
Корнилий,Корнилиевич,0
Ксенофонт,Ксенофонтович,91
Кузьма,Кузьмич,276
Куприян,Куприянович,122
Лавр,Лаврович,37
Лаврентий,Лаврентиевич,226
Лазарь,Лазаревич,179
Ларион,Ларионович,0
Лев,Львович,293
Леон,Леонович,0
Леонард,Леонардович,0
Леонид,Леонидович,317
Леонтий,Леонтиевич,256
Леопольд,Леопольдович,0
Логвин,Логвинович,0
Лука,Лукич,232
Лукьян,Лукьянович,170
Маврикий,Маврикиевич,0
Май,Маевич,0
Макар,Макарович,266
Макарий,Макариевич,0
Максим,Максимович,332
Максимиан,Максимианович,0
Максимилиан,Максимилианович,0
Максимильян,Максимильянович,0
Мануил,Мануилович,0
Марк,Маркович,289
Маркел,Маркелович,100
Марлен,Марленович,0
Мартимьян,Мартимьянович,0
Мартин,Мартинович,0
Мартиниан,Мартинианович,0
Мартын,Мартынович,158
Мартьян,Мартьянович,0
Матвей,Матвеевич,297
Мелентий,Мелентиевич,0
Мелетий,Мелетиевич,0
Меркул,Меркулович,0
Меркурий,Меркуриевич,0
Мефодий,Мефодиевич,151
Милий,Милиевич,0
Мина,Минич,0
Минай,Минаевич,0
Мирон,Миронович,246
Митрофан,Митрофанович,251
Митрофаний,Митрофаниевич,0
Михаил,Михаилович,341
Михей,Михеевич,0
Модест,Модестович,63
Моисей,Моисеевич,233
Мокей,Мокеевич,0
Мокий,Мокиевич,0
Мстислав,Мстиславович,70
Назар,Назарович,270
Назарий,Назариевич,0
Наркис,Наркисович,0
Наум,Наумович,197
Нестер,Нестерович,0
Нестор,Несторович,137
Нефёд,Нефёдович,0
Никандр,Никандрович,0
Никанор,Никанорович,156
Никита,Никитич,320
Никифор,Никифорович,261
Никодим,Никодимович,105
Николай,Николаевич,344
Никон,Никонович,129
Нил,Нилович,0
Нифонт,Нифонтович,0
Олег,Олегович,334
Олимпий,Олимпиевич,0
Онисим,Онисимович,0
Онуфрий,Онуфриевич,111
Орест,Орестович,0
Осип,Осипович,192
Оскар,Оскарович,149
Остап,Остапович,0
Павел,Павлович,333
Павлин,Павлинович,0
Палладий,Палладиевич,0
Памфил,Памфилович,0
Памфилий,Памфильевич,0
Панкрат,Панкратович,0
Панкратий,Панкратиевич,0
Пантелей,Пантелеевич,220
Пантелеймон,Пантелеймонович,0
Панфил,Панфилович,32
Парамон,Парамонович,0
Пармен,Парменович,0
Пармён,Пармёнович,0
Парфён,Парфёнович,0
Парфений,Парфениевич,0
Парфентий,Парфентьевич,0
Патрикей,Патрикеевич,0
Патрикий,Патрикиевич,0
Пафнутий,Пафнутиевич,0
Пахом,Пахомович,0
Пахомий,Пахомиевич,0
Пётр,Петрович,0
Пимен,Пименович,73
Платон,Платонович,234
Полиевкт,Полиевктович,0
Полиект,Полиектович,0
Поликарп,Поликарпович,171
Поликарпий,Поликарпиевич,0
Порфир,Порфирович,0
Порфирий,Порфириевич,152
Потап,Потапович,118
Пров,Прович,0
Прокл,Проклович,0
Прокоп,Прокопович,0
Прокопий,Прокопиевич,0
Прокофий,Прокофьевич,218
Протас,Протасович,0
Протасий,Протасиевич,0
Прохор,Прохорович,202
Радий,Радиевич,95
Рафаил,Рафаилович,211
Роберт,Робертович,271
Родион,Родионович,268
Роман,Романович,329
Ростислав,Ростиславович,278
Рудольф,Рудольфович,236
Руслан,Русланович,300
Рюрик,Рюрикович,0
Савва,Саввич,193
Савватей,Савватеевич,0
Савватий,Савватиевич,0
Савёл,Савёлович,0
Савелий,Савелиевич,265
Самойла,Самойлович,0
Самсон,Самсонович,135
Самуил,Самуилович,184
Святослав,Святославович,273
Севастьян,Севастьянович,110
Северьян,Северьянович,0
Селиван,Селиванович,0
Селивёрст,Селивёрстович,0
Селифан,Селифанович,0
Семён,Семёнович,300
Серафим,Серафимович,243
Сергей,Сергеевич,348
Сидор,Сидорович,206
Силантий,Силантиевич,5
Сильвестр,Сильвестрович,48
Симон,Симонович,0
Созон,Созонович,0
Созонт,Созонтович,0
Созонтий,Созонтьевич,0
Соломон,Соломонович,138
Софон,Софонович,0
Софоний,Софониевич,0
Софрон,Софронович,2
Софроний,Софрониевич,0
Спиридон,Спиридонович,186
Спиридоний,Спиридониевич,0
Станислав,Станиславович,312
Степан,Степанович,307
Сысой,Сысоевич,0
Тарас,Тарасович,283
Терентий,Терентиевич,231
Тимофей,Тимофеевич,301
Тимур,Тимурович,298
Тит,Титович,144
Тихон,Тихонович,267
Трифилий,Трифилиевич,0
Трифон,Трифонович,155
Трофим,Трофимович,259
Ульян,Ульянович,0
Устин,Устинович,131
Фадей,Фадеевич,121
Фёдор,Фёдорович,309
Федос,Федосович,0
Федосей,Федосеевич,140
Федот,Федотович,214
Федотий,Федотиевич,0
Феликс,Феликсович,248
Феоктист,Феоктистович,103
Феофан,Феофанович,120
Феофил,Феофилович,0
Феофилакт,Феофилактович,0
Ферапонт,Ферапонтович,0
Филарет,Филаретович,49
Филат,Филатович,52
Филимон,Филимонович,134
Филипий,Филипьевич,0
Филипп,Филиппович,285
Фирс,Фирсович,0
Флегонт,Флегонтович,13
Фока,Фокич,1
Фома,Фомич,208
Фотий,Фотиевич,0
Фридрих,Фридрихович,163
Фрол,Фролович,200
Харитон,Харитонович,196
Харитоний,Харитониевич,0
Харлам,Харламович,0
Харламп,Харлампович,0
Харлампий,Харлампиевич,114
Хрисанф,Хрисанфович,0
Христофор,Христофорович,145
Эдуард,Эдуардович,306
Эмилий,Эмилиевич,0
Эммануил,Эммануилович,0
Эрнест,Эрнестович,0
Юлиан,Юлианович,189
Юлий,Юлиевич,203
Юрий,Юрьевич,338
Яким,Якимович,0
Яков,Яковлевич,302
Ярослав,Ярославович,303
